author,statement,source,date,label,BinaryTarget
Tom Kertscher,"Says he will pursue change in federal law to protect employees from ""extortion from a union"" because ""the Supreme Court has ruled that federal prohibitions outlawing extortion usually do not apply to unions.""",Scott Walker,14-Sep-15,Barely True,0
Linda Qiu,"Says Marco Rubio has ""the worst voting record there is today.""",Donald Trump,16-Sep-15,Mostly True,1
Katie Sanders,"Says Mexico doesn't have birthright citizenship, and Americans are the ""only ones"" to have it.",Donald Trump,16-Sep-15,FALSE,0
Jon Greenberg,"""The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago.""",Carly Fiorina,16-Sep-15,TRUE,0
Lauren Carroll,"""We've just now given over $100 billion"" to Iran, ""the equivalent in U.S. terms is $5 trillion.""",Mike Huckabee,16-Sep-15,Half True,1
Louis Jacobson,"""A majority of the men and women on this stage have previously and publicly embraced amnesty. I am the only candidate on this stage who has never supported amnesty.""",Ted Cruz,16-Sep-15,Mostly True,1
Linda Qiu,"""When he (Donald Trump) asked Florida to have casino gambling, we said no.""",Jeb Bush,16-Sep-15,Mostly True,1
Jon Greenberg,Says Wisconsin Gov. Scott Walker turned a $1 billion surplus into a $2.2 billion budget deficit.,Donald Trump,16-Sep-15,Barely True,0
Jon Greenberg,"Says history suggests sports will ""quickly subsume a lot of the attention span of the country"" in the presidential primary.",Hugh Hewitt,13-Sep-15,Half True,1
April Hunt,Annexation would lead to overcrowding at Decatur’s city schools.,Internet commenters,10-Sep-15,FALSE,0
Joshua Gillin,"""Jeb's policies in Florida helped lead to its almost total collapse.""",Donald Trump,8-Sep-15,Barely True,0
Amy Sherman,Says Donald Trump supports the Wall Street bailout.,Club for Growth,15-Sep-15,Mostly True,1
Katie Sanders,"Says Donald Trump’s polling numbers show that he’s ""the highest with Hispanics that any Republican has ever been.""",Michele Bachmann,10-Sep-15,FALSE,0
Nancy Badertscher,"Georgia’s CRCT ""set some of the lowest expectations for student proficiency in the nation.""",Richard Woods,2-Sep-15,TRUE,0
Jon Greenberg,Says the case of a Texas judge who refused to perform heterosexual weddings exposes a double standard in the case against Kentucky clerk Kim Davis.,Viral image,7-Sep-15,FALSE,0
Warren Fiske,"""Inspections of abortion centers around Virginia have found multiple violations of parental consent laws … but Gov. Terry McAuliffe and his administration have done nothing.""",Victoria Cobb,22-Aug-15,Barely True,0
Linda Qiu,"""The top man at Yale Law School came out ... with just a raging report"" about former HP CEO Carly Fiorina, saying she is ""one of the worst executives in his memory in history running the company.""",Donald Trump,13-Sep-15,Mostly True,1
Jon Greenberg,"""I'm the only governor in America ... who signed a law that says there needs to be an independent investigation any time there's a death of someone in police custody.""",Scott Walker,13-Sep-15,TRUE,0
W. Gardner Selby,"""After Texas defunded Planned Parenthood, both the unintended pregnancy and abortion rates dropped.""",Greg Abbott,25-Aug-15,Barely True,0
Mark  Reynolds,"""She [Hillary Clinton] has also said unequivocally that she didn't receive classified documents.""",David Cicilline,4-Sep-15,Half True,1
W. Gardner Selby,As many as six federal department budget bills have been delayed because of opposition to amendments that would ban Confederate battle flag sales at federal building gift shops.,Lloyd  Doggett,3-Sep-15,Mostly True,1
Jon Greenberg,"When it comes to classified information at the State Department, Hillary Clinton’s ""the decider.""",Juan Williams,9-Sep-15,Half True,1
Tom Kertscher,"Says Donald Trump ""wants to replace"" Obamacare ""with a single-payer system.""",Reid Ribble,8-Sep-15,Half True,1
April Hunt,Atlanta has issued an increasing number of citations - and collected an increasing amount of revenue - since Mayor Kasim Reed took office in 2010.,Reader,3-Sep-15,Mostly True,1
Louis Jacobson,"""The Iran Deal will facilitate and accelerate the nation of Iran acquiring nuclear weapons.""",Ted Cruz,9-Sep-15,FALSE,0
Joshua Gillin,"""Florida led the nation in job creation"" while Bush was governor.",Jeb Bush,8-Sep-15,Half True,1
Jon Greenberg,"""Any Republican that has led for two months and led every state has won the GOP nomination.""",Matthew Dowd,6-Sep-15,Half True,1
James B. Nelson,"Says Scott Walker said ""Labor unions don’t deserve to have a national holiday"" due to their damage to the economy. And the holiday ""should be replaced by Patriots Day, celebrated every year on 9/11.""",Facebook posts,5-Sep-15,Pants Fire,0
Louis Jacobson,"""Unions did not create"" the eight-hour work day and the 40-hour work week. ""Henry Ford did.""",Viral image,6-Sep-15,Barely True,0
Tom Kertscher,"Says Scott Walker rejected legislation to make college loan payments tax deductible and the result was ""to raise taxes on students.""",Hillary Clinton,11-Aug-15,FALSE,0
Linda Qiu,"""I cut state spending more than anybody (in the 2016 GOP field).""",Jeb Bush,31-Aug-15,Half True,1
April Hunt,"""Contrary to media reports, Georgia’s gas tax change led to no price increase at the pump.""",E. Frank Stephenson,14-Aug-15,Half True,1
Joshua Gillin,"""There has never been a panther attack in the history of Florida.""",Ron Bergeron,2-Sep-15,Mostly True,1
Jon Greenberg,"""Almost 40 percent of all (undocumented) immigrants come by plane and they overstay their visas.""",Jorge Ramos,2-Sep-15,Half True,1
W. Gardner Selby,"""The State of Texas is funding … women’s health services at historically high levels; they just increased their level another $50 million for the next two years.""",Joe Pojman,28-Jul-15,TRUE,0
Warren Fiske,"Under the Iran deal: ""If Israel attacks Iran … we’re supposed to be on Iran’s side.""",Donald Trump,3-Sep-15,FALSE,0
Louis Jacobson,"""Twenty-three million Americans suffer from addiction, but only 1 in 10 get treatment.""",Hillary Clinton,1-Sep-15,Mostly True,1
W. Gardner Selby,"""It has been the law since the beginning of the country that the children of American citizens born ... abroad are American citizens by birth.""",Ted Cruz,21-Aug-15,Mostly True,1
Will Cabaniss,""" 'Denali' is the Kenyan word for 'black power.' """,Viral image,3-Sep-15,Pants Fire,0
Jon Greenberg,"Under the Nuclear Nonproliferation Treaty ""enrichment has been limited to basically the weapons states.""",Dick Cheney,2-Sep-15,FALSE,0
Louis Jacobson,"The nuclear agreement with Iran ""never sunsets. There's no sunset in this agreement.""",John Kerry,2-Sep-15,Half True,1
Joshua Gillin,"""Jesus was an undocumented immigrant.""",Ryan Eller,31-Aug-15,FALSE,0
Amy Sherman,"""Trump proposed enacting the largest tax increase in American history.""",Jeb Bush,21-Aug-15,TRUE,0
Linda Qiu,"The claim that 97 percent of scientists believe humans are causing climate change has been debunked by the ""head"" of the United Nations Intergovernmental Panel on Climate Change. ""That number was pulled out of thin air.""",Rick Santorum,28-Aug-15,FALSE,0
Will Cabaniss,"Bernie Sanders opposes the death penalty, and Hillary Clinton supports it.",Viral image,26-Aug-15,Mostly True,1
Will Cabaniss,"Bernie Sanders opposes the Trans-Pacific Partnership, and Hillary Clinton supports it.",Viral image,26-Aug-15,Mostly True,1
Tom Kertscher,"Says he ""turned down a Medicaid expansion under Obamacare,"" but because of actions he took, for the first time in Wisconsin's history ""everyone living in poverty is covered under Medicaid.""",Scott Walker,18-Aug-15,Mostly True,1
Nancy Badertscher,"Georgia has the 9th highest rate of adults, ages 18 to 64, without a high school diploma or GED.",Melissa Johnson,6-Aug-15,TRUE,0
Louis Jacobson,"Democratic Sens. Ed Markey, Al Franken and Jeanne Shaheen ""took Bribes From Iran … They Back Insane NUKE Deal.""",Bloggers,25-Sep-15,Pants Fire,0
Linda Qiu,"""The most recent survey of climate scientists said about 57 percent don’t agree with the idea that 95 percent of the change in the climate is caused by CO2.""",Rick Santorum,28-Aug-15,FALSE,0
Jon Greenberg,"""In countries where there are higher, more strict gun laws, there is more gun violence.""",Eric Bolling,27-Aug-15,FALSE,0
Lauren Carroll,"The Obama administration is ""proposing to mine another 10 billion tons of Wyoming coal, which would unleash three times more carbon pollution than Obama's Clean Power Plan would even save through 2030.""",Credo Action,27-Aug-15,Barely True,0
Tom Kertscher,"Says Scott Walker ""brags a lot about having an independent agency investigate police shootings. Of course, he didn’t fund it.""",Gwen Moore,26-Aug-15,Barely True,0
Sean Gorman,"""Of the 25 wealthiest nations, we're the only one that doesn't provide basic health coverage.""",Dan Gecker,18-Aug-15,TRUE,0
Louis Jacobson,"""We have 93 million people out of work. They look for jobs, they give up, and all of a sudden, statistically, they're considered employed.""",Donald Trump,28-Aug-15,FALSE,0
Joshua Gillin,"""I released all my emails.""",Jeb Bush,27-Aug-15,Barely True,0
Warren Fiske,"""I was one of the few, very few, who voted `no’ on the Iran deal.""",Dave Brat,10-Aug-15,FALSE,0
Lucas Daprile,"Says Russ Feingold cast the ""deciding vote"" for the ""largest tax increase"" in history",National Republican Senatorial Committee,7-Aug-15,Barely True,0
Linda Qiu,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",Bobby Jindal,30-Aug-15,Half True,1
Will Cabaniss,"""Saudi Arabia has the third-largest military budget in the entire world.""",Bernie Sanders,30-Aug-15,TRUE,0
Mark  Reynolds,"""African Americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police.""",Bernie Sanders,12-Aug-15,Mostly True,1
Louis Jacobson,"""We’re the most highly taxed nation in the world.""",Donald Trump,24-Aug-15,FALSE,0
Amy Sherman,"""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't.""",Hillary Clinton,25-Aug-15,Barely True,0
Jon Greenberg,"""In 1940, only 7 percent of Germans were Nazis.""",Curt Schilling,25-Aug-15,Barely True,0
W. Gardner Selby,"""In the year 2013, the Obama administration released 104,000 criminal illegal aliens. They released 196 murderers – people with homicide convictions, who are here illegally.""",Ted Cruz,21-Aug-15,Half True,1
Lucas Daprile,"""By the end of this budget I'm in right now, taxes will have been cut $4.7 billion in my state.""",Scott Walker,17-Aug-15,TRUE,0
Clay Wirestone,"Gov. Maggie Hassan’s budget proposal ""raises taxes on small businesses and increases taxes and fees by $100 million.""",Americans for Prosperity,11-Aug-15,Mostly True,1
Louis Jacobson,"""More Americans have died from guns in the United States since 1968 than on battlefields of all the wars in American history.""",Nicholas Kristof,27-Aug-15,TRUE,0
Linda Qiu,"""Our companies are moving into Mexico more than almost any other place right now.""",Donald Trump,19-Aug-15,Half True,1
Jon Greenberg,"Says ""Bush Jr. handed Obama a $1.4 trillion deficit"" and Obama ""reduced Bush Jr.’s deficit to just $492 billion.""",Occupy Democrats,25-Apr-15,Half True,1
Tom Kertscher,"Says Ron Johnson ""opposes entirely a federal minimum wage,"" except perhaps for ""guest workers.""",Russ  Feingold,18-Aug-15,TRUE,0
Nancy Badertscher,Buying the naming rights to the new Falcons stadium is the largest marketing deal in Mercedes-Benz history.,Steve Cannon,24-Aug-15,Mostly True,1
W. Gardner Selby,"""To vote in Mexico every eligible Mexican citizen has to have a tamper-proof photo-ID card with a thumbprint and an embossed hologram.""",Sid Miller,16-Aug-15,TRUE,0
Lauren Carroll,"Planned Parenthood is ""not actually doing women’s health issues.""",Jeb Bush,25-Aug-15,Pants Fire,0
Joshua Gillin,"""Not one of the 17 GOP candidates has discussed how they'd address the rising cost of college.""",Hillary Clinton,23-Aug-15,FALSE,0
Amy Sherman,"""The federal government right now does not deport criminals.""",Jeb Bush,19-Aug-15,FALSE,0
Tom Kertscher,"Says Scott Walker's plan to replace Obamacare ""is a new entitlement"" program for ""every single American human being from the time they are born right up until they grow old and become eligible for Medicare.""",Bobby Jindal,18-Aug-15,Half True,1
Lauren Carroll,"""Many of the great scholars say that anchor babies are not covered"" by the 14th Amendment.",Donald Trump,19-Aug-15,Half True,1
Jon Greenberg,"Says Bobby Jindal’s parents ""used his birthright citizenship to become Americans, making him an anchor baby.""",Occupy Democrats,23-Aug-15,Pants Fire,0
Will Cabaniss,"""The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.""",Julius Jones,17-Aug-15,Half True,1
Warren Fiske,"""Last year, we had zero percent growth in GDP in Virginia ...The only states that did worse than us were Alaska and Mississippi.""",Glen Sturtevant,18-Aug-15,TRUE,0
Joshua Gillin,"Says Donald Trump ""was a Democrat longer in the last decade than he was a Republican.""",Jeb Bush,19-Aug-15,Half True,1
Kevin Crowe,"Under Scott Walker, ""the Wisconsin middle class is shrinking at a faster rate than any other state in the country.""",Rachel Maddow,13-Jul-15,FALSE,0
Sean Gorman,"""We did not even have a federal income tax in this country until 1913.""",Jim Webb,12-Aug-15,Half True,1
Linda Qiu,"Says ""there’s 400,000"" anchor babies born in the United States a year, which are ""individuals coming to our country and having their children so their children can be U.S. citizens.""",Corey Lewandowski,23-Aug-15,Barely True,0
Will Cabaniss,"""There are actually only 30 countries that practice birthright citizenship.""",S.E. Cupp,23-Aug-15,TRUE,0
Joshua Gillin,"Says ""56 percent of (the U.S.-Mexico) border is not under our control.""",Ben Carson,23-Aug-15,Half True,1
Mark  Reynolds,"""Rhode Island will become just the second state to mandate the vaccine … and the only state to do so by regulatory fiat, without public debate, and without consideration from the elected representatives of the people.""",Rhode Island Center for Freedom and Prosperity,30-Jul-15,Half True,1
W. Gardner Selby,"""The United States is about 100th in voter turnout among the industrialized nations, and Texas is near the bottom in terms of voter registration and voter turnout.""",Bruce Elfant,5-Aug-15,Mostly True,1
James B. Nelson,"""The rate in which people are working (in Wisconsin) is almost five points higher than it is nationally.""",Scott Walker,6-Aug-15,Mostly True,1
April Hunt,"""Zero Planned Parenthood facilities are licensed to do mammograms. Planned Parenthood, women don’t need you!""",Alliance Defending Freedom,3-Aug-15,Half True,1
Bradley Saacks,"""Less than half of the poorest American households have a home Internet subscription.""",Julián Castro,27-Jul-15,TRUE,0
Lauren Carroll,"""If I had not asked for my emails all to be made public, none of this would have been in the public arena.""",Hillary Clinton,17-Aug-15,Barely True,0
Amy Sherman,"""We have an Army that just cut 40,000 spots.""",Marco Rubio,18-Aug-15,Mostly True,1
Linda Qiu,"Says Michele Bachmann said, ""The Chinese built a Great Wall 5,000 years ago. You don't see any illegal Mexicans in China.""",Facebook posts,17-Aug-15,Pants Fire,0
Jon Greenberg,"""The U.S. has now spent more on reconstructing Afghanistan than was spent on the Marshall Plan and the reconstruction of Europe.""",Matt Wuerker,4-Aug-15,Mostly True,1
Lauren Carroll,"""There's not a single, solitary example that"" signing the bill to end Glass-Steagall ""had anything to do with the financial crash.""",Bill Clinton,11-Aug-15,Mostly True,1
Dave Umhoefer,"A ""majority in every state favors path to citizenship for undocumented immigrants.""",Democratic Party of Wisconsin,6-Aug-15,Mostly True,1
Nancy Badertscher,"""Peachtree and Pine is one of the leading sites for tuberculosis in the nation.""",Kasim Reed,11-Aug-15,Mostly True,1
Joshua Gillin,"Says Patrick Murphy ""hasn't passed a single bill out of committee.""",Alan Grayson,12-Aug-15,FALSE,0
Will Cabaniss,"""There’s a tremendous other number of public officials who have done the same thing"" as Hillary Clinton with a private email server.",Howard Dean,12-Aug-15,Barely True,0
Linda Qiu,"""The annual cost of free tax credits alone paid to illegal immigrants quadrupled to $4.2 billion in 2011.""",Donald Trump,16-Aug-15,Half True,1
Christian Belanger,"""You’re more likely to get struck by lightning in Texas"" than find in-person voter fraud.",Cory Booker,9-Aug-15,TRUE,0
Jon Greenberg,"Between 2008 and 2014, ""criminal aliens accounted for 38 percent of all murder convictions in the five states of California, Texas, Arizona, Florida and New York.""",Tom Tancredo,8-Aug-15,FALSE,0
Louis Jacobson,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",Facebook posts,13-Aug-15,FALSE,0
Warren Fiske,"On unemployment rates: ""We have counties in Southwest Virginia that are well into double digits and some that are pushing 20 percent.""",Israel O'Quinn,10-Aug-15,FALSE,0
Linda Qiu,"The number of people who ""believe in socialism ... is increasing.""",Ben Carson,16-Aug-15,Half True,1
Lauren Carroll,"Says ""if the (Iran nuclear) deal gets rejected, they still get"" $150 billion.",Donald Trump,16-Aug-15,Half True,1
Will Cabaniss,"""We spend almost twice as much per capita on health care as do the people of any other country.""",Bernie Sanders,16-Aug-15,FALSE,0
Louis Jacobson,"""F: The grade given to Florida for college affordability under Jeb Bush's leadership.""",Hillary Clinton,10-Aug-15,Half True,1
Lauren Carroll,"There has been a 100 percent ""increase in student debt under this Democratic White House.""",Jeb Bush,10-Aug-15,Half True,1
Tom Kertscher,"Wisconsin's pension system is the ""only one fully funded in the country.""",Scott Walker,26-Jul-15,Mostly True,1
Amy Sherman,"""A minor cannot get a tattoo without parental consent but can get an abortion without parental consent.""",Marco Rubio,4-Aug-15,Half True,1
Christian Belanger,"""One of the reasons that Social Security is in so much trouble is that the only funding stream comes from people who get a wage. The people who get wages is declining dramatically.""",Mike Huckabee,6-Aug-15,Barely True,0
Linda Qiu,"""Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.""",Marco Rubio,6-Aug-15,Barely True,0
Joshua Gillin,"Says Marco Rubio’s ""proposed college affordability overhaul would specifically benefit for-profit colleges.""",American Bridge 21st Century,10-Aug-15,Barely True,0
Will Cabaniss,"Says Bernie Sanders chose ""to spend his honeymoon in the Soviet Union in 1988.""",George Will,7-Aug-15,Mostly True,1
Nancy Badertscher,There is debate among constitutional scholars about whether the First Amendment will continue to protect faith leaders from being forced to perform marriages against their religious beliefs.,David Ralston,13-Jul-15,Barely True,0
Lauren Carroll,"Emails released to the public show Hillary Clinton discussed ""the location of Ambassador Stevens, who of course was murdered, in Libya.""",Andrew Napolitano,5-Aug-15,Half True,1
Jon Greenberg,"Says Donald Trump has ""changed his mind"" on abortion.",Carly Fiorina,6-Aug-15,TRUE,0
Louis Jacobson,"""Every poll said I won the debate.""",Donald Trump,9-Aug-15,Half True,1
Christian Belanger,"""African-American children are 500 percent more likely to die from asthma than white kids.""",Hillary Clinton,31-Jul-15,TRUE,0
Tom Kertscher,"Scott Walker ""had a 2.3 GPA when he was asked to leave Marquette University for cheating.""",Facebook posts,11-Aug-15,FALSE,0
Anna Bruzgulis,"""Prior to 1962, everybody prayed before school started,"" and ""the Bible was the principal textbook in all schools.""",Rafael Cruz,31-Jul-15,Barely True,0
Louis Jacobson,"""If you look at the results of Obamacare, what you see is emergency room visits are up over 50 percent.""",Carly Fiorina,9-Aug-15,Barely True,0
Will Cabaniss,"""Some of the things that (Megyn Kelly) said, I didn’t say.""",Donald Trump,9-Aug-15,FALSE,0
Sean Gorman,"Says Jill McCabe ""supports late term abortions. Larger baby parts are more profitable.""",Dick Black,4-Aug-15,Pants Fire,0
Sean Gorman,"""The United States has the highest incarceration rate in the world.""",Jim Webb,5-Aug-15,Mostly True,1
Jon Greenberg,"Says he was ""one of the chief architects"" of balancing the federal budget.",John Kasich,9-Aug-15,Mostly True,1
Linda Qiu,"""The Republican presidential nominee hasn’t won women since 1988.""",Heather McGhee,9-Aug-15,TRUE,0
Nick Reid,"""I was appointed U.S. attorney by President Bush on Sept. 10, 2001.""",Chris Christie,6-Aug-15,Barely True,0
Jon Greenberg,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",Ben Carson,6-Aug-15,FALSE,0
Lauren Carroll,"""A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.""",Ted Cruz,6-Aug-15,Mostly True,1
Louis Jacobson,"""The Fourth Amendment was what we fought the Revolution over. John Adams said it was the spark that led to our war for independence.""",Rand Paul,6-Aug-15,Mostly True,1
Joshua Gillin,"""As governor of Florida I defunded Planned Parenthood.""",Jeb Bush,6-Aug-15,TRUE,0
Amy Sherman,"On allowing abortion in cases of rape or incest, ""I have never said that or advocated that.""",Marco Rubio,6-Aug-15,Barely True,0
W. Gardner Selby,"""In FY 2014 Planned Parenthood performed 327,653 abortions while receiving $528 million from taxpayers, in violation"" of ""the Hyde amendment.""",John Cornyn,3-Aug-15,Barely True,0
Tom Kertscher,"Wisconsin’s ""rainy day fund"" is ""165 times bigger than when we first took office.""",Scott Walker,3-Aug-15,TRUE,0
Tom Kertscher,"Says Scott Walker's defunding of Planned Parenthood ""left women across the state stranded with nowhere else to turn"" for cancer screenings, breast exams and birth control.",Hillary Clinton,3-Aug-15,Half True,1
Lauren Carroll,"Says Hillary Clinton has ""been in office and in government longer than anybody else running here tonight.""",Marco Rubio,6-Aug-15,Barely True,0
Amy Sherman,"Says that Donald Trump ""supported Charlie Crist.""",Marco Rubio,6-Aug-15,Mostly True,1
Linda Qiu,"""$700 billion was robbed (from Medicare) to pay for Obamacare.""",Mike Huckabee,6-Aug-15,Half True,1
Jon Greenberg,"Illegal immigration ""wasn’t a subject that was on anybody’s mind until I brought it up at my announcement.""",Donald Trump,6-Aug-15,FALSE,0
April Hunt,Film and television productions generated a $6 billion economic impact for Georgia’s economy in the most recent fiscal year.,Georgia Department of Economic Development,9-Jul-15,Half True,1
Louis Jacobson,"""I took the state of Ohio from an $8 billion hole … to a $2 billion surplus.""",John Kasich,6-Aug-15,Mostly True,1
Amy Sherman,"""This is the most generous country in the world when it comes to immigration. There are a million people a year who legally immigrate to the United States.""",Marco Rubio,6-Aug-15,Mostly True,1
Louis Jacobson,"""The Mexican government ... they send the bad ones over.""",Donald Trump,6-Aug-15,Pants Fire,0
Jon Greenberg,"""Fox changed around their poll eligibility criteria on the day they announced who is in and out of their debate.""",Rachel Maddow,4-Aug-15,Half True,1
Joshua Gillin,"Says Jeb Bush ""significantly cut early voting prior to the 2008 presidential election.""",Arthenia Joyner,30-Jul-15,Mostly True,1
Sarah Hauer,"""Since I took office, Wisconsin now has the 2nd highest health care quality ranking in the country.""",Scott Walker,26-Jul-15,Half True,1
Louis Jacobson,"""The stock market does better when you have a Democratic president in the White House.""",Hillary Clinton,28-Jul-15,Mostly True,1
Lauren Carroll,"The Navy ""is bringing charges against"" a Navy officer who shot at the Chattanooga shooter ""for illegally discharging a firearm on federal property.""",Allen West,1-Aug-15,FALSE,0
Anna Bruzgulis,"""Almost 95 percent of all (Planned Parenthood) pregnancy services were abortions.""",Sandra Smith,28-Jul-15,FALSE,0
W. Gardner Selby,"Austin is ""effectively"" imposing ""a ban on barbecue restaurants.""",Rush Limbaugh,28-Jul-15,Pants Fire,0
Nancy Badertscher,Caution: Kissing and cuddling chickens can be hazardous to your health.,Centers for Disease Control,16-Jul-15,TRUE,0
Amy Sherman,On the Cuba embargo.,Hillary Clinton,31-Jul-15,Full Flop,0
Linda Qiu,"Say President George W. Bush "" ‘borrowed’ $1.37 trillion of Social Security surplus revenue to pay for his tax cuts for the rich and his war in Iraq and never paid it back.""",Facebook posts,27-Mar-15,Barely True,0
Will Cabaniss,"""In 1947, when I was born, there were about 450,000 lions. In the mid-70s, when my kids were born, there were about 100,000. Today, there are less than 30,000.""",Jack Hanna,2-Aug-15,Mostly True,1
Warren Fiske,"Since parole abolition, Virginia's ""crime rate has fallen to third lowest in the country, our recidivism rate is down 20 percent and that’s the second lowest in the country.""",Mark Obenshain,21-Jul-15,Mostly True,1
Lauren Carroll,"""97 percent of the work that Planned Parenthood does is about mammograms and preventative health.""",Martin O'Malley,26-Jul-15,Half True,1
Sean Gorman,"""In 1960, we spent more than 3 percent of our GDP on infrastructure projects like the Interstate Highway. Today we spend less than 1 percent of our GDP on these vital investments.""",Gerry Connolly,9-Jul-15,Half True,1
Linda Qiu,Says Donald Trump is for a single-payer health care system.,Rick Perry,2-Aug-15,Half True,1
Louis Jacobson,"Under President Barack Obama, income levels and unemployment numbers ""are worse now than just about ever"" for African-Americans.",Donald Trump,2-Aug-15,FALSE,0
Mark  Reynolds,"""Every year the First Coast Guard District saves 350 lives in the Northeast.""",Coast Guard,20-Jul-15,Mostly True,1
Louis Jacobson,"Planned Parenthood is ""the only health care that a significant number of women get. About 30 percent of women, that's their health care.""",Harry Reid,29-Jul-15,Pants Fire,0
Keely Herring,"""We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.""",Cory Booker,27-Jul-15,Mostly True,1
W. Gardner Selby,"Says states not directly involved in the gay marriage lawsuits that reached the Supreme Court ""are not bound"" by the court’s ruling.",Ted Cruz,28-Jun-15,Barely True,0
Joshua Gillin,"Says in 2002, he ""won more Hispanic votes than Anglo votes, 60 percent in the state.""",Jeb Bush,27-Jul-15,Mostly True,1
Louis Jacobson,"Says Hillary Clinton ""refuses to testify before Congress"" about the 2012 attack in Benghazi.",Facebook posts,26-Jul-15,FALSE,0
Lucas Daprile,"""Our last budget committed the highest level of need-based financial aid in state history.""",Scott Walker,8-Jun-15,Mostly True,1
April Hunt,"Since Volvo spurned Georgia for South Carolina in early May, some 3,455 jobs promising more than $800 million in investments have come to the Peach State.",Chris Riley,17-Jul-15,TRUE,0
Anna Bruzgulis,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",Bill O'Reilly,27-Jul-15,Mostly True,1
Will Cabaniss,"""The law says ... when a police officer stops you, do whatever he says and then deal with it later.""",Harry Houck,21-Jul-15,FALSE,0
Christian Belanger,"""Obama Makes Huge Move to BAN Social Security Recipients From Owning Guns""",Bloggers,20-Jul-15,FALSE,0
Tom Kertscher,"Says his political opponents ""brought 100,000 protesters into our state.""",Scott Walker,27-Jul-15,FALSE,0
Joshua Gillin,"""Forty percent of people in this country, illegally, are overstaying visas.""",Marco Rubio,22-Jul-15,Mostly True,1
Anna Bruzgulis,"""The majority of the Hispanic population and the growth (of the population) is U.S.-born.""",Jose Diaz-Balart,26-Jul-15,TRUE,0
Tom Kertscher,"""The top one-tenth of 1 percent"" of Americans ""own almost as much wealth as the bottom 90 percent.""",Bernie Sanders,1-Jul-15,Mostly True,1
Anna Bruzgulis,"""House Republicans just passed a bill that makes it legal for single mothers to be fired by their employers.""",Occupy Democrats,17-Jul-15,FALSE,0
Amy Sherman,"The number of illegal immigrants in the United States is ""30 million, it could be 34 million.""",Donald Trump,24-Jul-15,Pants Fire,0
Jon Greenberg,"""More than half of all drivers' licenses issued in California this year have gone to illegal aliens.""",NumbersUSA,22-Jul-15,Mostly True,1
Louis Jacobson,"""The economy, by every metric, is better than when I came into office.""",Barack Obama,21-Jul-15,Barely True,0
Kirby Wilson,"Since 2009, ""we've cut homelessness (among veterans) by a third.""",Barack Obama,21-Jul-15,Mostly True,1
Tom Kertscher,"Under Gov. Scott Walker, Wisconsin ""projected a $1 billion (budget) surplus and it turns out to be a deficit of $2.2 billion.""",Donald Trump,25-Jul-15,Barely True,0
April Hunt,The National Technical Information Service spends millions of taxpayer dollars to print and sell government documents that are available free in online searches.,David Perdue,22-Jun-15,Mostly True,1
Will Cabaniss,"""With the exception of baby formula, the federal government does not require any food to carry an expiration date, and state laws vary widely.""",John Oliver,19-Jul-15,TRUE,0
Jon Greenberg,"When President Abraham Lincoln signed his Emancipation Proclamation, ""there were over 300,000 slaveholders who were fighting in the Union army.""",Chuck Baldwin,9-Jul-15,Pants Fire,0
Joshua Gillin,"Says David Jolly refused ""to cut spending for a national greenhouse in D.C.""",Club for Growth,20-Jul-15,TRUE,0
Sarah Hauer,"Says under his leadership ""Wisconsin median household income"" is up 2.7%, while it is down 1.3% nationally under President Obama.",Scott Walker,21-Jul-15,Barely True,0
Warren Fiske,"""All (Maryland) crabs are born in Virginia.""",Terry McAuliffe,21-Jul-15,Mostly True,1
Linda Qiu,"""(Hillary Clinton's State Department) actually admonished one of her ambassadors because he wasn’t using the proper server.""",Rand Paul,26-Jul-15,TRUE,0
Bradley Saacks,"""I deployed the Texas National Guard"" to the Texas-Mexico border. ""And the policy worked; apprehensions at the border declined 74 percent.""",Rick Perry,4-Jun-15,Barely True,0
Mark  Reynolds,"""One of the reasons I believe we’re in trouble in Yemen is we lost the population on drone strikes issues. That’s what stirred up the population. That’s what is happening in Yemen.""",Lincoln Chafee,14-Jun-15,Half True,1
Jon Greenberg,"Says Donald Trump ""has supported a Canadian-style universal health care system.""",Erick Erickson,21-Jul-15,TRUE,0
Tom Kertscher,President Barack Obama met with Iranian president Hassan Rouhani.,Restoration PAC,22-Jul-15,Pants Fire,0
W. Gardner Selby,"""Obama’s Clean Power Plan ... eliminates coal-fired power plants.""",Robert Henneke,23-Jun-15,Barely True,0
